DateGMT;Attendance;Home_Team_Name;AwayTeamName;Referee;HomeTeamGoalCount ;AwayTeamGoalCount;HomeTeamPossession;AwayTeamPossession;StadiumName;;;;;;;;;;;;;;;;;;
Aug 10 2018 - 7:00pm;74439;Manchester United;Leicester City;Andre Marriner;2;1;46;54;Old Trafford (Manchester);;;;;;;;;;;;;;;;;;
Aug 11 2018 - 11:30am;51749;Newcastle United;Tottenham Hotspur;Martin Atkinson;1;2;40;60;St. James' Park (Newcastle upon Tyne);;;;;;;;;;;;;;;;;;
Aug 11 2018 - 2:00pm;10353;AFC Bournemouth;Cardiff City;Kevin Friend;2;0;62;38;Vitality Stadium (Bournemouth- Dorset);;;;;;;;;;;;;;;;;;
Aug 11 2018 - 2:00pm;24821;Fulham;Crystal Palace;Mike Dean;0;2;66;34;Craven Cottage (London);;;;;;;;;;;;;;;;;;
Aug 11 2018 - 2:00pm;24121;Huddersfield Town;Chelsea;Chris Kavanagh;0;3;37;63;John Smith's Stadium (Huddersfield- West Yorkshire);;;;;;;;;;;;;;;;;;
Aug 11 2018 - 2:00pm;20051;Watford;Brighton & Hove Albion;Jonathan Moss;2;0;53;47;Vicarage Road (Watford);;;;;;;;;;;;;;;;;;
Aug 11 2018 - 4:30pm;31231;Wolverhampton Wanderers;Everton;Craig Pawson;2;2;57;43;Molineux Stadium (Wolverhampton- West Midlands);;;;;;;;;;;;;;;;;;
Aug 12 2018 - 12:30pm;53235;Liverpool;West Ham United;Anthony Taylor;4;0;64;36;Anfield (Liverpool);;;;;;;;;;;;;;;;;;
Aug 12 2018 - 12:30pm;30784;Southampton;Burnley;Graham Scott;0;0;47;53;St. Mary's Stadium (Southampton- Hampshire);;;;;;;;;;;;;;;;;;
Aug 12 2018 - 3:00pm;59934;Arsenal;Manchester City;Michael Oliver;0;2;42;58;Emirates Stadium (London);;;;;;;;;;;;;;;;;;
Aug 18 2018 - 11:30am;30720;Cardiff City;Newcastle United;Craig Pawson;0;0;51;49;Cardiff City Stadium (Cardiff (Caerdydd));;;;;;;;;;;;;;;;;;
Aug 18 2018 - 2:00pm;38601;Everton;Southampton;Lee Mason;2;1;58;42;Goodison Park (Liverpool);;;;;;;;;;;;;;;;;;
Aug 18 2018 - 2:00pm;32043;Leicester City;Wolverhampton Wanderers;Mike Dean;2;0;42;58;King Power Stadium (Leicester- Leicestershire);;;;;;;;;;;;;;;;;;
Aug 18 2018 - 2:00pm;58297;Tottenham Hotspur;Fulham;Anthony Taylor;3;1;59;41;Wembley Stadium (London);;;;;;;;;;;;;;;;;;
Aug 18 2018 - 2:00pm;56888;West Ham United;AFC Bournemouth;Stuart Attwell;1;2;61;39;London Stadium (London);;;;;;;;;;;;;;;;;;
Aug 18 2018 - 4:30pm;40491;Chelsea;Arsenal;Martin Atkinson;3;2;62;38;Stamford Bridge (London);;;;;;;;;;;;;;;;;;
Aug 19 2018 - 12:30pm;18822;Burnley;Watford;Paul Tierney;1;3;58;42;Turf Moor (Burnley);;;;;;;;;;;;;;;;;;
Aug 19 2018 - 12:30pm;54021;Manchester City;Huddersfield Town;Andre Marriner;6;1;76;24;Etihad Stadium (Manchester);;;;;;;;;;;;;;;;;;
Aug 19 2018 - 3:00pm;30592;Brighton & Hove Albion;Manchester United;Kevin Friend;3;2;33;67;The American Express Community Stadium (Falmer- East Sussex);;;;;;;;;;;;;;;;;;
Aug 20 2018 - 7:00pm;25750;Crystal Palace;Liverpool;Michael Oliver;0;2;36;64;Selhurst Park (London);;;;;;;;;;;;;;;;;;
Aug 25 2018 - 11:30am;31222;Wolverhampton Wanderers;Manchester City;Martin Atkinson;1;1;28;72;Molineux Stadium (Wolverhampton- West Midlands);;;;;;;;;;;;;;;;;;
Aug 25 2018 - 2:00pm;10654;AFC Bournemouth;Everton;Lee Probert;2;2;49;51;Vitality Stadium (Bournemouth- Dorset);;;;;;;;;;;;;;;;;;
Aug 25 2018 - 2:00pm;59830;Arsenal;West Ham United;Graham Scott;3;1;61;39;Emirates Stadium (London);;;;;;;;;;;;;;;;;;
