full_name;age;season;position;Current Club;minutes_played_overall;nationality;goals_overall;assists_overall;penalty_goals;yellow_cards_overall;red_cards_overall
Aaron Cresswell;32;2018/2019;Defender;West Ham United;1589;England;0;1;0;1;0
Aaron Mooy;32;2018/2019;Midfielder;Huddersfield Town;2327;Australia;3;1;1;4;0
Aaron Ramsey;31;2018/2019;Midfielder;Arsenal;1327;Wales;4;6;0;0;0
Aaron Rowe;22;2018/2019;Forward;Huddersfield Town;69;England;0;0;0;0;0
Aaron Wan-Bissaka;24;2018/2019;Midfielder;Crystal Palace;3135;England;0;3;0;5;1
Abdelhamid Sabiri;25;2018/2019;Midfielder;Huddersfield Town;49;Morocco;0;0;0;0;0
Abdoulaye Doucour�;29;2018/2019;Midfielder;Watford;3062;France;5;6;0;7;0
Adalberto Pe�aranda Maestre;25;2018/2019;Forward;Watford;0;Venezuela;0;0;0;0;0
Adam David Lallana;34;2018/2019;Midfielder;Liverpool;465;England;0;0;0;1;0
Adam Masina;28;2018/2019;Defender;Watford;1003;Italy;0;1;0;5;0
Adam Smith;31;2018/2019;Defender;AFC Bournemouth;2073;England;1;1;0;6;1
Adama Diakhaby;26;2018/2019;Forward;Huddersfield Town;551;France;0;0;0;1;0
Adama Traor� Diarra;26;2018/2019;Midfielder;Wolverhampton Wanderers;890;Spain;1;1;0;1;0
Ademola Lookman;25;2018/2019;Forward;Everton;601;England;0;2;0;0;0
Adrian Mariappa;36;2018/2019;Defender;Watford;1921;Jamaica;0;0;0;3;0
Adri�n San Miguel del Castillo;35;2018/2019;Goalkeeper;West Ham United;0;Spain;0;0;0;0;0
Adrien Sebastian Perruchet Silva;33;2018/2019;Midfielder;Leicester City;88;Portugal;0;0;0;0;0
Ainsley Maitland-Niles;25;2018/2019;Midfielder;Arsenal;985;England;1;1;0;3;1
Alberto Moreno;30;2018/2019;Defender;Liverpool;155;Spain;0;0;0;0;0
Aleksandar Mitrovi?;28;2018/2019;Forward;Fulham;3282;Serbia;11;3;1;7;0
Alex Iwobi;26;2018/2019;Forward;Arsenal;1972;Nigeria;3;6;0;0;0
Alex McCarthy;32;2018/2019;Goalkeeper;Southampton;2250;England;0;0;0;1;0
Alex Oxlade-Chamberlain;29;2018/2019;Midfielder;Liverpool;19;England;0;0;0;0;0
Alex Pritchard;29;2018/2019;Midfielder;Huddersfield Town;2092;England;2;0;0;2;0
Alex Smithies;32;2018/2019;Goalkeeper;Cardiff City;0;England;0;0;0;0;0
Alexander S�rloth;26;2018/2019;Forward;Crystal Palace;173;Norway;0;0;0;0;0
Alexandre Lacazette;31;2018/2019;Forward;Arsenal;2503;France;13;8;0;2;0
Alexandre Nascimento Costa Silva;25;2018/2019;Forward;West Ham United;17;Portugal;0;0;0;0;0
Alexis Sanchez;33;2018/2019;Forward;Manchester United;877;Chile;1;3;0;3;0
Alfie Jones;25;2018/2019;Defender;Southampton;0;England;0;0;0;0;0
Alfie Mawson;28;2018/2019;Defender;Fulham;1131;England;0;0;0;2;0
Alfie Whiteman;24;2018/2019;Goalkeeper;Tottenham Hotspur;0;England;0;0;0;0;0
Ali Koiki;22;2018/2019;Defender;Burnley;0;England;0;0;0;0;0
Alireza Jahanbakhsh;29;2018/2019;Forward;Brighton & Hove Albion;1022;Iran;0;0;0;2;0
Alisson Becker;30;2018/2019;Goalkeeper;Liverpool;3420;Brazil;0;0;0;1;0
Alvaro Morata;30;2018/2019;Forward;Chelsea;943;Spain;5;0;0;3;0
Ander Herrera;33;2018/2019;Midfielder;Manchester United;1404;Spain;2;3;0;4;0
Andr� Filipe Tavares Gomes;29;2018/2019;Midfielder;Everton;1986;Portugal;1;1;0;7;0
Andre Gray;31;2018/2019;Forward;Watford;1358;England;7;2;0;2;0
Andr� Sch�rrle;31;2018/2019;Midfielder;Fulham;1650;Germany;6;0;0;2;0
Andr�-Frank Zambo Anguissa;26;2018/2019;Midfielder;Fulham;1518;Cameroon;0;0;0;3;1
Andreas Christensen;26;2018/2019;Defender;Chelsea;615;Denmark;0;0;0;1;0
Andreas Pereira;26;2018/2019;Midfielder;Manchester United;595;Brazil;1;1;0;5;0
Andrew Robertson;28;2018/2019;Defender;Liverpool;3219;Scotland;0;11;0;4;0
Andrew Surman;36;2018/2019;Midfielder;AFC Bournemouth;1438;England;0;0;0;2;0
Andriy Yarmolenko;33;2018/2019;Forward;West Ham United;459;Ukraine;2;0;0;2;0
Andros Townsend;31;2018/2019;Midfielder;Crystal Palace;3018;England;6;4;0;1;0
Andy Carroll;33;2018/2019;Forward;West Ham United;454;England;0;0;0;2;0
Angel Gomes;22;2018/2019;Midfielder;Manchester United;25;England;0;0;0;0;0
Angelo Ogbonna;34;2018/2019;Defender;West Ham United;1870;Italy;1;1;0;2;0
Angus Gunn;26;2018/2019;Goalkeeper;Southampton;1080;England;0;0;0;0;0
Anthony Driscoll-Glennon;22;2018/2019;Defender;Burnley;0;England;0;0;0;0;0
Anthony Knockaert;30;2018/2019;Midfielder;Brighton & Hove Albion;1832;France;2;6;0;5;1
Anthony Martial;26;2018/2019;Forward;Manchester United;1623;France;10;2;1;2;0
Antonio Barreca;27;2018/2019;Defender;Newcastle United;4;Italy;0;0;0;0;0
Antonio R�diger;29;2018/2019;Defender;Chelsea;2874;Germany;1;0;0;7;0
Antonio Valencia;37;2018/2019;Defender;Manchester United;466;Ecuador;0;0;0;2;0
Arijanet Muric;23;2018/2019;Goalkeeper;Manchester City;0;Montenegro;0;0;0;0;0
Aron Einar Gunnarsson;33;2018/2019;Midfielder;Cardiff City;2274;Iceland;1;1;0;5;0
